Query_Name,Database_ID,Target_ID,Target_Name,Gene_Name,UniProt_ID,Query_Percentage,Target_Percentage,Polypharmacology_Type,Ligand_Name,Organism,original_target_smile,query_frag_smile,Query_SMILES
mol_0,CHEMBL1315466,ChEMBL_T_2045,Ubiquitin carboxyl-terminal hydrolase 1,CHEMBL1795087,O94782,48.57,85.0,Type 4,CHEMBL1315466 : ,Homo sapiens,CCN1CCN(c2csc3ccc(C)cc3c2=O)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3884815,ChEMBL_T_2380,Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4),CHEMBL2111409,P35968,57.14,80.0,Type 4,CHEMBL3884815 : ,Homo sapiens,COc1cc(-c2cc(CO)c3cc4c(cc3n2)OCCO4)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL202930,ChEMBL_T_2415,Vasopressin V1 receptor,CHEMBL2111456,P47901,42.86,60.0,Type 4,CHEMBL202930 : ,Homo sapiens,COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3695663,ChEMBL_T_2487,Glycoprotein hormones alpha chain,CHEMBL2146305,P01215,51.43,72.0,Type 4,CHEMBL3695663 : ,Homo sapiens,CCNC(=O)Nc1ccc2ncc(-c3ccc(O)c(OC)c3)nc2n1,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3318026,ChEMBL_T_1892,Microtubule-associated protein tau,CHEMBL1293224,P10636,51.43,66.67,Type 4,CHEMBL3318026 : ,Homo sapiens,COc1cc(-c2cnc3ccc(NC(=O)NC(C)(C)C)nc3c2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3358999,ChEMBL_T_1600,Nuclear factor erythroid 2-related factor 2,CHEMBL1075094,Q16236,57.14,71.43,Type 4,CHEMBL3358999 : ,Homo sapiens,COc1cc(-c2c[nH]c(=O)c(-c3cc(OC)c(OC)c(OC)c3)n2)ccc1O,*c1ccc(O)c(OC)c1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL1566387,ChEMBL_T_1319,Neuropeptide S receptor,CHEMBL5162,Q6W5P4,37.14,56.52,Type 4,CHEMBL1566387 : ,Mus musculus,CCN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)nc3)C2=O)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL3823214,ChEMBL_T_2238,Runt-related transcription factor 1/Core-binding factor subunit beta,CHEMBL2093862,Q13951,37.14,56.52,Type 4,CHEMBL3823214 : ,Homo sapiens,CCN1CCN(/C=C2\CCn3c2nc(=O)c2ccccc23)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL1319884,ChEMBL_T_2044,Ataxin-2,CHEMBL1795085,Q99700,40.0,60.87,Type 4,CHEMBL1319884 : ,Homo sapiens,CCN1CCN(c2ccc(NC(=O)c3cnccn3)cc2)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
mol_0,CHEMBL5219525,ChEMBL_T_2266,Adenosine A2 receptor,CHEMBL2094257,P29274,60.0,87.5,Type 4,CHEMBL5219525 : ,Saccharomyces cerevisiae,CCN1CCN(C(=O)c2cccc3c2-c2ccccc2C3=O)CC1,*N1CCN(CC)CC1,CCN1CCN(CC1)C2=CC3=C(C=C2)C(=NN3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)O)OC
