cell_line_raw,cell_line,depmap_id,lineage,primary_disease,subtype,rrid,mapping_status,candidates,descriptive_entry,has_expression
HT1080,HT-1080,ACH-000054,Soft Tissue,Fibrosarcoma,Fibrosarcoma,CVCL_0317,mapped,1,,1
HUCCT1,HuCCT1,ACH-000976,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,CVCL_0324,mapped,1,,1
HUH-1,huH-1,ACH-000475,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_2956,mapped,1,,1
HeLa,HeLa,ACH-001086,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,CVCL_0030,mapped,1,,1
Hela,HeLa,ACH-001086,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,CVCL_0030,mapped,1,,1
Hella,HeLa,ACH-001086,Cervix,Cervical Adenocarcinoma,Endocervical Adenocarcinoma,CVCL_0030,mapped,1,,1
Hep3B2.1-7,Hep 3B2.1-7,ACH-000625,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0326,mapped,1,,1
HepG2,Hep G2,ACH-000739,Liver,Hepatoblastoma,Hepatoblastoma,CVCL_0027,mapped,1,,1
Hs578t,Hs 578T,ACH-000148,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",CVCL_0332,mapped,1,,1
HuH-7,HuH-7,ACH-000480,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0336,mapped,1,,1
Huh7,HuH-7,ACH-000480,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0336,mapped,1,,1
Huh7.5,HuH-7,ACH-000480,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,CVCL_0336,mapped,1,,1
Human THP-1 monocytes,Human THP-1 monocytes,,,,,,unmapped,0,True,0
IgE MM,IgE MM,,,,,,unmapped,0,False,0
JeKo-1,JeKo-1,ACH-000357,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,CVCL_1865,mapped,1,,1
Jurkat,JURKAT,ACH-000995,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,CVCL_0065,mapped,1,,1
K562,K-562,ACH-000551,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CVCL_0004,mapped,1,,1
K562 CML,K562 CML,,,,,,unmapped,0,False,0
KATO III,KATO III,ACH-000793,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,CVCL_0371,mapped,1,,1
KM12,KM12,ACH-000969,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,CVCL_1331,mapped,1,,1
KOPN49,KOPN49,,,,,,unmapped,0,False,0
KU812,KU812,ACH-000074,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CVCL_0379,mapped,1,,1
KYSE-270,KYSE-270,ACH-000873,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,CVCL_1350,mapped,1,,1
KYSE520,KYSE-520,ACH-000637,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,CVCL_1355,mapped,1,,1
KYSE520 esophageal cancer cell line,KYSE-520,ACH-000637,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,CVCL_1355,mapped,1,,1
Karpas 299,KARPAS-299,ACH-000053,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,CVCL_1324,mapped,1,,1
Karpas422,KARPAS-422,ACH-000315,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",CVCL_1325,mapped,1,,1
Kasumi-1,KASUMI-1,ACH-000263,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,CVCL_0589,mapped,1,,1
Kelly,KELLY,ACH-000259,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,CVCL_2092,mapped,1,,1
LNCaP,LNCaP clone FGC,ACH-000977,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,CVCL_1379,mapped,1,,1
LnCaP95,LnCaP95,,,,,,unmapped,0,False,0
LnCap,LNCaP clone FGC,ACH-000977,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,CVCL_1379,mapped,1,,1
MB-MDA-231,MDA-MB-231,ACH-000768,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,CVCL_0062,mapped,1,,1
MCF-7,MCF7,ACH-000019,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,CVCL_0031,mapped,1,,1
MCF-7 breast cancer cells,MCF-7 breast cancer cells,,,,,,unmapped,0,True,0
